"alpha","beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.96,0.72,0.7235,0.6595,0.3645,0.3165,0.359,0.343
0.96,0.74,0.753,0.627,0.3825,0.317,0.3705,0.31
0.96,0.76,0.786,0.595,0.3945,0.3045,0.3915,0.2905
0.96,0.78,0.7155,0.618,0.361,0.309,0.3545,0.309
0.96,0.8,0.728,0.611,0.3785,0.309,0.3495,0.302
0.96,0.82,0.777,0.626,0.394,0.3105,0.383,0.3155
0.96,0.84,0.7785,0.5335,0.4025,0.266,0.376,0.2675
0.96,0.86,0.759,0.636,0.3825,0.317,0.3765,0.319
0.96,0.88,0.755,0.618,0.387,0.3035,0.368,0.3145
0.96,0.9,0.7645,0.61,0.387,0.301,0.3775,0.309
0.96,0.92,0.7845,0.624,0.3885,0.3055,0.396,0.3185
0.96,0.94,0.7695,0.637,0.39,0.314,0.3795,0.323
0.96,0.96,0.766,0.6435,0.3925,0.3205,0.3735,0.323
0.96,0.98,0.7785,0.611,0.3985,0.302,0.38,0.309
0.96,1,0.777,0.6615,0.393,0.3405,0.384,0.321
0.98,0.02,0.42,0.0995,0.27,0.049,0.15,0.0505
0.98,0.04,0.4545,0.1595,0.281,0.077,0.1735,0.0825
0.98,0.06,0.457,0.247,0.259,0.1185,0.198,0.1285
0.98,0.08,0.4975,0.292,0.2745,0.147,0.223,0.145
0.98,0.1,0.554,0.3265,0.314,0.1675,0.24,0.159
0.98,0.12,0.584,0.3375,0.31,0.1735,0.274,0.164
0.98,0.14,0.6135,0.3425,0.318,0.1585,0.2955,0.184
0.98,0.16,0.66,0.3925,0.3405,0.1875,0.3195,0.205
0.98,0.18,0.609,0.4445,0.3275,0.217,0.2815,0.2275
0.98,0.2,0.63,0.448,0.3335,0.2245,0.2965,0.2235
0.98,0.22,0.627,0.485,0.3345,0.242,0.2925,0.243
0.98,0.24,0.692,0.4875,0.36,0.2505,0.332,0.237
0.98,0.26,0.6725,0.472,0.3465,0.23,0.326,0.242
0.98,0.28,0.681,0.49,0.3565,0.2415,0.3245,0.2485
0.98,0.3,0.692,0.5035,0.35,0.251,0.342,0.2525
0.98,0.32,0.7105,0.509,0.372,0.257,0.3385,0.252
0.98,0.34,0.675,0.538,0.3555,0.2565,0.3195,0.2815
0.98,0.36,0.7015,0.551,0.3665,0.2785,0.335,0.2725
0.98,0.38,0.6935,0.508,0.3585,0.2645,0.335,0.2435
0.98,0.4,0.728,0.4975,0.38,0.2535,0.348,0.244
0.98,0.42,0.7105,0.531,0.371,0.269,0.3395,0.262
0.98,0.44,0.722,0.544,0.3765,0.2675,0.3455,0.2765
0.98,0.46,0.7205,0.541,0.379,0.2745,0.3415,0.2665
0.98,0.48,0.72,0.588,0.373,0.2925,0.347,0.2955
0.98,0.5,0.715,0.5695,0.3795,0.286,0.3355,0.2835
0.98,0.52,0.733,0.5425,0.371,0.261,0.362,0.2815
0.98,0.54,0.708,0.608,0.376,0.315,0.332,0.293
0.98,0.56,0.7215,0.5425,0.367,0.276,0.3545,0.2665
0.98,0.58,0.756,0.5115,0.3945,0.256,0.3615,0.2555
0.98,0.6,0.7245,0.5825,0.3725,0.281,0.352,0.3015
0.98,0.62,0.768,0.6165,0.388,0.309,0.38,0.3075
0.98,0.64,0.7325,0.608,0.3755,0.3105,0.357,0.2975
0.98,0.66,0.719,0.6125,0.3755,0.308,0.3435,0.3045
0.98,0.68,0.7635,0.6055,0.3965,0.3015,0.367,0.304
0.98,0.7,0.7265,0.6035,0.378,0.302,0.3485,0.3015
0.98,0.72,0.7665,0.484,0.3875,0.244,0.379,0.24
0.98,0.74,0.764,0.6165,0.3915,0.3075,0.3725,0.309
0.98,0.76,0.7635,0.643,0.3925,0.3265,0.371,0.3165
0.98,0.78,0.755,0.633,0.3825,0.326,0.3725,0.307
0.98,0.8,0.7535,0.604,0.3825,0.2985,0.371,0.3055
0.98,0.82,0.773,0.602,0.3905,0.297,0.3825,0.305
0.98,0.84,0.747,0.642,0.3735,0.318,0.3735,0.324
0.98,0.86,0.7695,0.6045,0.382,0.2945,0.3875,0.31
0.98,0.88,0.772,0.64,0.392,0.3265,0.38,0.3135
0.98,0.9,0.7715,0.6295,0.391,0.3205,0.3805,0.309
0.98,0.92,0.78,0.614,0.398,0.307,0.382,0.307
0.98,0.94,0.7355,0.652,0.37,0.3345,0.3655,0.3175
0.98,0.96,0.7585,0.6435,0.3825,0.315,0.376,0.3285
0.98,0.98,0.7585,0.629,0.3845,0.315,0.374,0.314
0.98,1,0.7695,0.6275,0.3985,0.3155,0.371,0.312
1,0.02,0.378,0.085,0.2355,0.0385,0.1425,0.0465
1,0.04,0.4555,0.1985,0.2615,0.086,0.194,0.1125
1,0.06,0.5045,0.2235,0.282,0.0995,0.2225,0.124
1,0.08,0.5525,0.307,0.3045,0.143,0.248,0.164
1,0.1,0.5695,0.3165,0.299,0.149,0.2705,0.1675
1,0.12,0.5865,0.3605,0.3235,0.1765,0.263,0.184
1,0.14,0.584,0.421,0.313,0.191,0.271,0.23
1,0.16,0.566,0.402,0.3015,0.1875,0.2645,0.2145
1,0.18,0.6555,0.4485,0.3525,0.2175,0.303,0.231
1,0.2,0.6695,0.4335,0.342,0.2045,0.3275,0.229
1,0.22,0.643,0.4385,0.3455,0.2125,0.2975,0.226
1,0.24,0.6585,0.4295,0.351,0.211,0.3075,0.2185
1,0.26,0.675,0.4365,0.353,0.218,0.322,0.2185
1,0.28,0.673,0.477,0.3445,0.2305,0.3285,0.2465
1,0.3,0.669,0.502,0.3525,0.2485,0.3165,0.2535
1,0.32,0.674,0.478,0.3635,0.246,0.3105,0.232
1,0.34,0.696,0.486,0.3665,0.242,0.3295,0.244
1,0.36,0.726,0.5445,0.3805,0.2675,0.3455,0.277
1,0.38,0.714,0.4895,0.3615,0.237,0.3525,0.2525
1,0.4,0.7275,0.5185,0.373,0.2595,0.3545,0.259
1,0.42,0.73,0.512,0.3745,0.257,0.3555,0.255
1,0.44,0.7045,0.5565,0.3635,0.2855,0.341,0.271
1,0.46,0.714,0.5815,0.3635,0.286,0.3505,0.2955
1,0.48,0.7175,0.583,0.371,0.292,0.3465,0.291
1,0.5,0.7255,0.582,0.363,0.2955,0.3625,0.2865
1,0.52,0.717,0.588,0.3735,0.288,0.3435,0.3
1,0.54,0.7315,0.559,0.3685,0.2835,0.363,0.2755
1,0.56,0.752,0.541,0.3815,0.27,0.3705,0.271
1,0.58,0.744,0.5645,0.3765,0.27,0.3675,0.2945
1,0.6,0.7385,0.5535,0.3815,0.273,0.357,0.2805
1,0.62,0.7525,0.586,0.39,0.2925,0.3625,0.2935
1,0.64,0.7335,0.5715,0.376,0.276,0.3575,0.2955
1,0.66,0.762,0.559,0.3975,0.278,0.3645,0.281
1,0.68,0.764,0.568,0.406,0.2805,0.358,0.2875
1,0.7,0.747,0.597,0.378,0.2905,0.369,0.3065
1,0.72,0.761,0.6125,0.375,0.3045,0.386,0.308
1,0.74,0.7115,0.6445,0.372,0.3235,0.3395,0.321
1,0.76,0.756,0.5615,0.385,0.28,0.371,0.2815
1,0.78,0.742,0.6215,0.3755,0.314,0.3665,0.3075
1,0.8,0.746,0.6045,0.3785,0.298,0.3675,0.3065
1,0.82,0.7405,0.568,0.379,0.285,0.3615,0.283
1,0.84,0.737,0.6065,0.3765,0.3055,0.3605,0.301
1,0.86,0.794,0.5585,0.4075,0.274,0.3865,0.2845
1,0.88,0.7595,0.6025,0.3865,0.3095,0.373,0.293
1,0.9,0.733,0.6125,0.383,0.3045,0.35,0.308
1,0.92,0.7635,0.606,0.394,0.3035,0.3695,0.3025
1,0.94,0.7505,0.641,0.387,0.311,0.3635,0.33
1,0.96,0.8015,0.5715,0.4015,0.2855,0.4,0.286
1,0.98,0.7455,0.6495,0.3765,0.3225,0.369,0.327
1,1,0.7305,0.6245,0.3735,0.3115,0.357,0.313
